State,LevelOfCare,Count
AL,Worse Mortality and Average Payment,16
IA,Worse Mortality and Lower Payment,10
NC,Worse Mortality and Higher Payment,6
IN,Worse Mortality and Average Payment,17
FL,Average Complications and Average Payment,96
GA,Average Complications and Average Payment,60
NY,Not Available,156
OR,Average Mortality and Lower Payment,102
ND,Average Mortality and Higher Payment,9
OR,Not Available,73
ID,Average Complications and Higher Payment,9
FL,Better Complications and Average Payment,8
AL,Not Available,122
AR,Average Complications and Average Payment,27
TN,Average Complications and Lower Payment,68
NJ,Better Mortality and Higher Payment,26
TX,Average Complications and Average Payment,177
WI,Worse Mortality and Lower Payment,7
MP,Average Mortality and Lower Payment,4
KY,Average Complications and Average Payment,51
TN,Average Complications and Average Payment,17
IL,Better Mortality and Lower Payment,12
SC,Average Complications and Average Payment,24
VT,Better Mortality and Lower Payment,5
NY,Worse Mortality and Average Payment,24
AL,Average Complications and Lower Payment,14
CT,Better Mortality and Average Payment,2
ID,Average Mortality and Higher Payment,3
FL,Worse Complications and Higher Payment,8
NH,Average Complications and Average Payment,16
CA,Better Mortality and Lower Payment,4
IL,Average Complications and Higher Payment,70
DE,Average Complications and Lower Payment,7
WA,Average Mortality and Average Payment,255
VA,Average Mortality and Average Payment,314
GA,Worse Complications and Average Payment,1
MD,Better Mortality and Lower Payment,3
NC,Not Available,84
PA,Worse Mortality and Average Payment,10
LA,Average Complications and Higher Payment,25
AZ,Average Mortality and Lower Payment,44
DE,Average Mortality and Higher Payment,6
NY,Worse Mortality and Higher Payment,7
GU,Average Mortality and Lower Payment,9
UT,Average Mortality and Lower Payment,22
NY,Average Complications and Average Payment,99
ME,Average Complications and Lower Payment,13
WA,Better Complications and Lower Payment,6
MN,Not Available,295
MO,Average Complications and Lower Payment,61
WI,Average Mortality and Lower Payment,94
MO,Worse Mortality and Higher Payment,5
PR,Not Available,150
MT,Worse Mortality and Average Payment,1
TX,Worse Mortality and Higher Payment,17
AZ,Worse Mortality and Average Payment,8
KY,Average Complications and Lower Payment,19
WI,Not Available,163
MD,Average Mortality and Average Payment,214
TN,Worse Mortality and Average Payment,18
DC,Average Mortality and Higher Payment,6
HI,Worse Mortality and Average Payment,1
NV,Average Complications and Higher Payment,16
OK,Worse Complications and Lower Payment,2
WA,Worse Complications and Average Payment,1
OH,Better Complications and Lower Payment,3
VI,Not Available,1
NC,Worse Complications and Average Payment,4
PA,Not Available,154
AZ,Better Mortality and Higher Payment,2
TX,Not Available,695
TN,Worse Mortality and Lower Payment,4
GA,Better Mortality and Lower Payment,6
PR,Worse Mortality and Average Payment,1
NC,Average Complications and Average Payment,63
AZ,Better Mortality and Average Payment,8
ND,Average Mortality and Lower Payment,18
VA,Not Available,63
GA,Worse Complications and Higher Payment,1
WY,Average Mortality and Lower Payment,23
OK,Not Available,234
PA,Better Complications and Lower Payment,3
TX,Average Mortality and Average Payment,920
NC,Worse Mortality and Lower Payment,16
CO,Better Mortality and Higher Payment,2
CO,Average Complications and Average Payment,63
IN,Average Complications and Average Payment,74
TN,Not Available,139
VA,Better Complications and Higher Payment,1
PA,Better Mortality and Lower Payment,6
FL,Better Complications and Higher Payment,5
MN,Better Complications and Lower Payment,2
NH,Worse Mortality and Average Payment,2
LA,Worse Mortality and Lower Payment,2
CO,Not Available,126
FL,Better Mortality and Higher Payment,24
CT,Average Mortality and Average Payment,118
NH,Better Mortality and Average Payment,2
NM,Average Complications and Lower Payment,21
LA,Average Mortality and Average Payment,275
