State,Payment
AZ,9178779.820000032
SC,697797.6699999997
LA,361613.6499999993
MN,1.5664662419999698E8
NJ,2.860310731900008E8
DC,711293.6300000015
OR,8186807.329999982
VA,1.8278173159999996E7
RI,1642150.6699999983
KY,1872655.2500000002
NH,1783888.9900000028
MI,1.2202019518999743E8
NV,1309699.0600000003
WI,7196821.099999992
ID,1099.0299999999997
CA,4.162241236699958E8
NE,5722.0
CT,3.652392488000044E7
MT,475748.96
NC,4.586044577999996E7
VT,229440.20999999993
MD,1.5532235530000089E7
DE,8.471968429999773E7
MO,6296900.330000032
IL,1.7575103509000137E8
ME,25028.52
WA,8886809.770000141
ND,49200.0
MS,81137.32
AL,2025478.959999987
IN,2.4600848235999936E8
OH,1.4171011509999938E7
TN,4.351801607999935E7
IA,187636.28
PA,1.0730185667000052E8
SD,112306.36999999997
NY,1.4231259187000123E8
TX,8.648241972000012E7
WV,6925952.140000002
GA,2.4465492220000044E7
MA,3.1144180232000023E8
KS,2297863.0600000033
FL,8.962752061000314E7
CO,7662414.87999999
AK,7822.56
AR,45220.51
OK,127830.82000000002
PR,121725.1400000002
UT,1.191245158999988E7
