State,Payment
AZ,8473963.0
SC,7851464.0
LA,9908394.0
MN,9102371.0
NJ,1.2584612E7
DC,1073293.0
OR,6235995.0
VA,1.1498041E7
RI,1499557.0
WY,2094048.0
KY,1.0753974E7
NH,3440337.0
MI,1.6109938E7
NV,4140603.0
WI,1.519098E7
ID,3404886.0
CA,3.8850105E7
NE,7424122.0
CT,4729275.0
MT,3490971.0
NC,1.405476E7
VT,1786473.0
MD,8175640.0
DE,1057732.0
MO,1.2917414E7
VI,288707.0
IL,2.3180288E7
ME,4533924.0
GU,128021.0
WA,9654400.0
ND,2574361.0
MS,8249063.0
AL,9488690.0
IN,1.5236868E7
OH,2.1961419E7
TN,1.1392763E7
NM,3704306.0
IA,1.0624493E7
PA,2.2586811E7
SD,3431129.0
NY,2.3058099E7
TX,4.1989265E7
WV,4919397.0
GA,1.3888477E7
MA,1.0002028E7
KS,1.0117948E7
FL,2.8789787E7
CO,1.0200391E7
AK,1327383.0
AR,8054926.0
OK,1.0017014E7
PR,2244231.0
MP,74503.0
UT,4334812.0
HI,1576462.0
